event_month,event_year,family_group,family_group_label,source_label,event_count
2014-05,2014,flood_weather,Rain and weather,Daijiworld,2
2014-05,2014,road_safety,Road safety,Daijiworld,22
2014-06,2014,civic_infrastructure,Civic work,Daijiworld,12
2014-06,2014,fire_emergency,Fire and emergency,Daijiworld,1
2014-06,2014,health,Health,Daijiworld,2
2014-06,2014,other,Other,Daijiworld,4
2014-06,2014,flood_weather,Rain and weather,Daijiworld,3
2014-06,2014,road_safety,Road safety,Daijiworld,36
2014-07,2014,civic_infrastructure,Civic work,Daijiworld,12
2014-07,2014,fire_emergency,Fire and emergency,Daijiworld,3
2014-07,2014,health,Health,Daijiworld,1
2014-07,2014,other,Other,Daijiworld,3
2014-07,2014,flood_weather,Rain and weather,Daijiworld,3
2014-07,2014,road_safety,Road safety,Daijiworld,29
2014-08,2014,civic_infrastructure,Civic work,Daijiworld,6
2014-08,2014,health,Health,Daijiworld,2
2014-08,2014,other,Other,Daijiworld,1
2014-08,2014,flood_weather,Rain and weather,Daijiworld,1
2014-08,2014,road_safety,Road safety,Daijiworld,21
2014-09,2014,civic_infrastructure,Civic work,Daijiworld,6
2014-09,2014,fire_emergency,Fire and emergency,Daijiworld,1
2014-09,2014,other,Other,Daijiworld,2
2014-09,2014,flood_weather,Rain and weather,Daijiworld,5
2014-09,2014,road_safety,Road safety,Daijiworld,28
2014-10,2014,civic_infrastructure,Civic work,Daijiworld,4
2014-10,2014,fire_emergency,Fire and emergency,Daijiworld,2
2014-10,2014,health,Health,Daijiworld,3
2014-10,2014,flood_weather,Rain and weather,Daijiworld,4
2014-10,2014,road_safety,Road safety,Daijiworld,30
2014-11,2014,civic_infrastructure,Civic work,Daijiworld,9
2014-11,2014,fire_emergency,Fire and emergency,Daijiworld,3
2014-11,2014,health,Health,Daijiworld,3
2014-11,2014,other,Other,Daijiworld,2
2014-11,2014,flood_weather,Rain and weather,Daijiworld,1
2014-11,2014,road_safety,Road safety,Daijiworld,26
2014-12,2014,civic_infrastructure,Civic work,Daijiworld,6
2014-12,2014,fire_emergency,Fire and emergency,Daijiworld,12
2014-12,2014,health,Health,Daijiworld,4
